id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
31726672,vist_2,17727515,27003111,3145712,1986843,37.03,56.4,6.57,4.15
31933437,vist_1,13921770,26405479,2426444,1841068,32.56,61.76,5.68,4.31
32291411,vist_2,18133469,26189840,2383116,1862907,38.82,56.07,5.1,3.99
32890899,vist_1,19362143,29137505,2331478,2202618,38.09,57.32,4.59,4.33
32968760,vist_1,18942509,31779034,2710104,2188994,35.45,59.48,5.07,4.1
33710245,vist_2,18733490,30249967,2912439,2059443,36.1,58.29,5.61,3.97
33914409,vist_1,18440941,29505994,2146276,2163771,36.81,58.9,4.28,4.32
33941618,vist_2,25647513,38713006,2898342,2834985,38.13,57.56,4.31,4.22
34390898,vist_1,13817490,24394253,2484437,1647983,33.95,59.94,6.1,4.05
34453779,vist_1,21383535,28904017,2145204,2305105,40.78,55.13,4.09,4.4
35007970,vist_1,16531019,30683548,4065263,2017652,32.24,59.84,7.93,3.93
35446483,vist_1,11462603,28333232,6840105,1538572,24.58,60.75,14.67,3.3
35555079,vist_1,15446752,23589216,2040693,1729291,37.6,57.43,4.97,4.21
36343903,vist_1,18752065,36301162,3848764,2495270,31.84,61.63,6.53,4.24
36827186,vist_2,19493852,32397305,3873484,2196398,34.96,58.1,6.95,3.94
37563039,vist_2,32228215,53470679,4631362,3607609,35.68,59.19,5.13,3.99
37810413,vist_1,19262583,26672850,1958093,2038571,40.22,55.69,4.09,4.26
37890316,vist_1,18039348,26581794,2225807,2013395,38.51,56.74,4.75,4.3
39227285,vist_2,18521110,27098359,2854884,2051576,38.21,55.9,5.89,4.23
39288725,vist_1,19487354,34161775,2560672,2459579,34.67,60.78,4.56,4.38
39576550,vist_1,17372188,24626842,2061816,1845410,39.43,55.89,4.68,4.19
40781859,vist_2,21285287,33190758,2813232,2324189,37.15,57.94,4.91,4.06
41069065,vist_2,19452650,26886683,2162598,1841339,40.11,55.43,4.46,3.8
43968381,vist_1,14641490,26590859,2234353,1891251,33.68,61.18,5.14,4.35
44958397,vist_2,15298953,24036832,2213452,1648071,36.82,57.85,5.33,3.97
